models=Random WayPoint	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	maps=squarereflect	height=500	width=500	maxspeed=10	rangealgorithms=NullPowerAlgorithm	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	275	248	7.41	2.13	0
1	1	125	352	6.22	2.78	0
1	2	479	367	8.24	2.83	0
1	3	434	423	8.92	4.93	0
1	4	310	129	7.87	1.36	0
1	5	238	97	8.36	2.01	0
1	6	141	348	5.35	4.83	0
1	7	260	217	7.71	2.73	0
1	8	415	311	7.59	3.71	0
1	9	56	177	6.74	0.05	0
2	0	271	254	7.41	2.13	0
2	1	119	354	6.22	2.78	0
2	2	471	370	8.24	2.83	0
2	3	436	414	8.92	4.93	0
2	4	312	137	7.87	1.36	0
2	5	234	104	8.36	2.01	0
2	6	142	343	5.35	4.83	0
2	7	253	220	7.71	2.73	0
2	8	409	307	7.59	3.71	0
2	9	63	177	6.74	0.05	0
3	0	267	261	7.41	2.13	0
3	1	113	356	6.22	2.78	0
3	2	463	372	8.24	2.83	0
3	3	438	406	8.92	4.93	0
3	4	313	145	7.87	1.36	0
3	5	231	112	8.36	2.01	0
3	6	142	337	5.35	4.83	0
3	7	246	223	7.71	2.73	0
3	8	402	303	7.59	3.71	0
3	9	70	178	6.74	0.05	0
4	0	263	267	7.41	2.13	0
4	1	108	358	6.22	2.78	0
4	2	456	375	8.24	2.83	0
4	3	440	397	8.92	4.93	0
4	4	315	152	7.87	1.36	0
4	5	227	120	8.36	2.01	0
4	6	143	332	5.35	4.83	0
4	7	239	226	7.71	2.73	0
4	8	396	299	7.59	3.71	0
4	9	76	178	6.74	0.05	0
5	0	259	273	7.41	2.13	0
5	1	102	360	6.22	2.78	0
5	2	448	377	8.24	2.83	0
5	3	442	388	8.92	4.93	0
5	4	317	160	7.87	1.36	0
5	5	224	127	8.36	2.01	0
5	6	144	327	5.35	4.83	0
5	7	232	229	7.71	2.73	0
5	8	389	295	7.59	3.71	0
5	9	83	178	6.74	0.05	0
6	0	255	280	7.41	2.13	0
6	1	96	362	6.22	2.78	0
6	2	440	380	8.24	2.83	0
6	3	443	380	8.92	4.93	0
6	4	318	168	7.87	1.36	0
6	5	220	135	8.36	2.01	0
6	6	144	321	5.35	4.83	0
6	7	225	232	7.71	2.73	0
6	8	383	291	7.59	3.71	0
6	9	90	179	6.74	0.05	0
7	0	252	286	7.41	2.13	0
7	1	90	365	6.22	2.78	0
7	2	432	382	8.24	2.83	0
7	3	445	371	8.92	4.93	0
7	4	320	175	7.87	1.36	0
7	5	217	142	8.36	2.01	0
7	6	145	316	5.35	4.83	0
7	7	218	235	7.71	2.73	0
7	8	377	287	7.59	3.71	0
7	9	97	179	6.74	0.05	0
8	0	248	292	7.41	2.13	0
8	1	84	367	6.22	2.78	0
8	2	424	385	8.24	2.83	0
8	3	447	362	8.92	4.93	0
8	4	322	183	7.87	1.36	0
8	5	213	150	8.36	2.01	0
8	6	145	311	5.35	4.83	0
8	7	211	239	7.71	2.73	0
8	8	370	282	7.59	3.71	0
8	9	103	179	6.74	0.05	0
9	0	244	298	7.41	2.13	0
9	1	78	369	6.22	2.78	0
9	2	416	387	8.24	2.83	0
9	3	449	353	8.92	4.93	0
9	4	323	191	7.87	1.36	0
9	5	210	158	8.36	2.01	0
9	6	146	305	5.35	4.83	0
9	7	204	242	7.71	2.73	0
9	8	364	278	7.59	3.71	0
9	9	110	180	6.74	0.05	0
